rank,combinationIndex,defense.yaml#/resolution/step_3_base_capacity/stat_to_filter/value,count,minimum,maximum,mean,median,p95,standardDeviation,suspicionScore
,0,0.35,64,0.11861600980746,0.12033722259801999,0.1195278624605725,0.119535980181735,0.120280839364397,0.0004728841569820206,0
,1,0.45,64,0.12883847060658002,0.13113742151959001,0.12981629631479255,0.12977517419957,0.1306008740081575,0.0004788826982718151,0
,2,0.55,64,0.13891058288997,0.14113349550525,0.14016486509102455,0.14012442314349,0.1409901454358815,0.0005053575437712148,0
,3,0.65,64,0.1492152564917,0.15220174897203,0.15070320093954948,0.15067310554238,0.1518486822962875,0.0006439731367478031,0
,4,0.75,64,0.15971328164237,0.16255495818696,0.16110610181717797,0.161070268578405,0.162393423559488,0.0006809498886782073,0
